City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,66.79,83,100,18.77,ZA,1676583616
84,bengkulu,-3.8004,102.2655,74.46,86,99,3.62,ID,1676583677
85,ferrol,43.4832,-8.2369,52.68,95,13,4.12,ES,1676584180
86,bluff,-46.6,168.3333,58.8,78,99,9.35,NZ,1676583612
87,saint-augustin,51.226,-58.6502,32.97,98,100,10.2,CA,1676583689
88,moron,-34.6534,-58.6198,59.99,65,100,15.55,AR,1676584181
89,tazovskiy,67.4667,78.7,27.97,95,100,21.5,RU,1676583705
90,sur,22.5667,59.5289,73.15,46,13,2.53,OM,1676584181
91,tasiilaq,65.6145,-37.6368,17.76,95,100,4.45,GL,1676583640
92,shchors,51.8186,31.945,25.77,95,100,9.8,UA,1676584182
93,kalyazin,57.2403,37.8433,2.01,92,98,3.22,RU,1676584182
94,hudiksvall,61.729,17.1036,29.93,94,43,3.74,SE,1676584183
95,vila velha,-20.3297,-40.2925,80.55,86,20,17.27,BR,1676583443
96,severo-kurilsk,50.6789,156.125,25.65,68,98,26.69,RU,1676583681
97,frontera,26.9333,-101.45,63.32,15,75,10.36,MX,1676583894
98,parkes,-33.1333,148.1833,84.34,33,0,3.0,AU,1676584184
99,kutum,14.2,24.6667,53.85,24,48,14.97,SD,1676583760
100,fukue,32.6881,128.8419,53.74,68,96,11.39,JP,1676584184
101,leningradskiy,69.3833,178.4167,-32.04,98,98,5.55,RU,1676583618
102,baraki barak,33.9675,68.9486,29.66,74,100,3.18,AF,1676584185
103,kapaa,22.0752,-159.319,80.58,79,40,11.5,US,1676583616
104,saint-georges,12.0564,-61.7485,82.08,65,20,18.41,GD,1676583620
105,saskylakh,71.9167,114.0833,-7.91,99,100,3.96,RU,1676583611
106,gladstone,-23.85,151.25,76.78,73,100,5.75,AU,1676584185
107,talnakh,69.4865,88.3972,9.21,95,100,12.17,RU,1676583685
108,agaro,7.85,36.65,63.57,49,41,1.83,ET,1676584186
109,pevek,69.7008,170.3133,-41.17,100,100,7.4,RU,1676583627
110,mar del plata,-38.0023,-57.5575,54.09,95,100,10.36,AR,1676583476
111,bethel,41.3712,-73.414,60.67,73,100,1.88,US,1676583635
112,lakatoro,-16.0999,167.4164,80.85,71,89,6.78,VU,1676584186
113,north bend,43.4065,-124.2243,48.16,88,100,4.61,US,1676583939
114,inegol,40.0781,29.5133,27.68,84,4,4.88,TR,1676584187
115,olafsvik,64.8945,-23.7142,31.28,75,100,20.09,IS,1676583674
116,kawalu,-7.3817,108.2082,71.38,95,100,1.28,ID,1676584187
117,fortuna,40.5982,-124.1573,56.93,43,0,10.36,US,1676583822
118,linjiang,41.8069,126.9078,8.01,98,80,1.19,CN,1676583699
119,tual,-5.6667,132.75,80.1,82,100,12.84,ID,1676584188
120,shumskiy,54.8318,99.1328,4.12,95,100,2.66,RU,1676584188
121,folkestone,51.0833,1.1833,49.98,100,100,8.01,GB,1676584189
122,albany,42.6001,-73.9662,49.17,70,100,2.1,US,1676584146
123,beringovskiy,63.05,179.3167,-8.79,97,100,14.9,RU,1676583800
124,cabo san lucas,22.8909,-109.9124,75.06,61,100,10.36,MX,1676583683
